"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","","","/表章事項 補助コード","-","-","-"
"","","","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","","","/男女 コード","0","1","2"
"","","","","","","/男女 補助コード","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む） 補助コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","","2020年","02427","","（旧：脇野沢村）","","1221","542","679"
"2020000000","","2020年","02209","","つがる市","","30934","14363","16571"
"2020000000","","2020年","02322","","（旧：木造町）","","14270","6563","7707"
"2020000000","","2020年","02324","","（旧：森田村）","","3918","1848","2070"
"2020000000","","2020年","02326","","（旧：柏村）","","5122","2356","2766"
"2020000000","","2020年","02327","","（旧：稲垣村）","","3493","1580","1913"
"2020000000","","2020年","02328","","（旧：車力村）","","4131","2016","2115"
"2020000000","","2020年","02210","","平川市","","30567","14188","16379"
"2020000000","","2020年","02363","","（旧：尾上町）","","9063","4200","4863"
"2020000000","","2020年","02365","","（旧：平賀町）","","19320","9016","10304"
"2020000000","","2020年","02368","","（旧：碇ケ関村）","","2184","972","1212"
"2020000000","","2020年","02301","","平内町","","10126","4818","5308"
"2020000000","","2020年","02303","","今別町","","2334","1119","1215"
"2020000000","","2020年","02304","","蓬田村","","2540","1211","1329"
"2020000000","","2020年","02307","","外ヶ浜町","","5401","2527","2874"
"2020000000","","2020年","02302","","（旧：蟹田町）","","2610","1181","1429"
"2020000000","","2020年","02305","","（旧：平舘村）","","1347","663","684"
"2020000000","","2020年","02306","","（旧：三厩村）","","1444","683","761"
"2020000000","","2020年","02321","","鰺ヶ沢町","","9044","4145","4899"
"2020000000","","2020年","02323","","深浦町","","7346","3397","3949"
"2020000000","","2020年","0232B","","（旧：深浦町）","","5660","2630","3030"
"2020000000","","2020年","02325","","（旧：岩崎村）","","1686","767","919"
"2020000000","","2020年","02343","","西目屋村","","1265","589","676"
"2020000000","","2020年","02361","","藤崎町","","14573","6748","7825"
"2020000000","","2020年","0236B","","（旧：藤崎町）","","8655","3993","4662"
"2020000000","","2020年","02366","","（旧：常盤村）","","5918","2755","3163"
"2020000000","","2020年","02362","","大鰐町","","8665","3934","4731"
"2020000000","","2020年","02367","","田舎館村","","7326","3425","3901"
"2020000000","","2020年","02381","","板柳町","","12700","5806","6894"
"2020000000","","2020年","02384","","鶴田町","","12074","5553","6521"
"2020000000","","2020年","02387","","中泊町","","9657","4432","5225"
